Consensus algorithm are required for working with ,a. Fault tolerant systems ,b. Distributed File Systems ,c. Message queues ,d. cloud and container environments ,e. All of the above ,e
"In Paxos, a simple majority quorum would suffice for a proposal to be accepted. ",a. True,b. False,c. N/A,d. N/A,e. N/A,a
We can reach an agreement in the presence of faulty processors. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
A group of processors achieve Interactive consistency if ,a. Non-faulty processors compute exactly the same vector. ,b. Element of a vector for a given non-faulty processor is a random value. ,c. both a & b ,d. none ,e. N/A,d
"To achieve Interactive Consistency, what is the maximum number of faulty processors allowed if the total number of processors is 10. ",a. 1,b. 2 ,c. 3,d. 4,e. N/A,c
Byzantine faults in a distributed system can happen when one or more nodes can be ______. ,a. Down ,b. Malicious ,c. Inactive ,d. Redundant ,e. N/A,b
"If the majority of the nodes in a distributed system are faulty/malicious, consensus will always be achieved",a. True,b. False,c. N/A,d. N/A,e. N/A,b
"In Practical Byzantine Fault Tolerance algorithm, consensus of the distributed system is achieved based on ",a. Fastest Node,b. Leader Response ,c. Response from majority of the nodes ,d. Response from node with highest stake ,e. N/A,c
Block chain use Proof of Work algorithm for validating the new block using hashing process  ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
The disadvantage(s) of the proof of work algorithm compared to proof of stake algorithm is  ,a. High resource usage and slow computation ,b. Less secure ,c. Domination by high stake nodes ,d. Higher vulnerability to attacks ,e. N/A,a
"In Paxos, a simple majority quorum would suffice for a proposal to be accepted. ",a. True,b. False,c. N/A,d. N/A,e. N/A,a
Why is clock synchronization difficult in distributed systems? ,a. Constantly changing clock values ,b. Clock values change at a different rate ,c. Some clocks might be faulty ,d. N/A,e. N/A,abc
In a network of 3m+1 processes the interactive convergence algorithm will handle up to m faults? ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
What is the minimum number of processes that the second interactive consistency algorithm requires (m is the number of faulty processes)? ,a. 2m ,b. 2m+1 ,c. 2m-1 ,d. 2m^2 ,e. N/A,b
A nonfaulty process p can read the difference ? qp between another nonfaulty process q’s clock and its own with at most a small error ?.? ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
